"What is your present religion, if any?",,Do you attend religious services,"How often do you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How often do you: Pray in public using some kind of physical object (rosary, tefillin, etc)",How often do you: Pray aloud before meals in the presence of people who don't belong to your religion,How often do you: Tell someone you'll pray for him or her,How often do you: Ask or offer to pray with someone,"How often do you: Bring up your religion, unprompted, in conversation","How often do you: Ask others about their religion, unprompted, in conversation","How often do you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How often do you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How often do you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)",What is your age?,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
Agnostic,,Weekly or more,Not applicable to my religious beliefs,Never,Once a year or less,Once a month or less,Never,Once a month or less,Never,Never,Never,Never,30 - 44,Female,"$125,000 to $149,999",Middle Atlantic
Protestant,,Less than weekly,Never,Never,Never,Once a year or less,Once a year or less,Never,Never,Never,Never,Never,60+,Female,"$75,000 to $99,999",South Atlantic
Atheist,,,,,,,,,,,,,30 - 44,Female,"$25,000 to $49,999",Pacific
Agnostic,,Never,Never,Never,Once a month or less,Once a year or less,Never,Never,Never,Never,Never,Never,60+,Male,"$25,000 to $49,999",Pacific
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,18 - 29,Female,Prefer not to answer,East North Central
Roman Catholic,,Never,Never,Never,Not applicable to my religious beliefs,Never,Never,Once a year or less,Once a month or less,Never,Never,Never,30 - 44,Male,"$0 to $9,999",Mountain
Roman Catholic,,Weekly or more,Every day,Never,A few times per week,A few times per week,A few times per week,A few times per week,Never,Once a month or less,Never,Once a year or less,60+,Male,"$100,000 to $124,999",South Atlantic
Agnostic,,Less than weekly,Never,Never,Once a year or less,Never,Never,Never,Never,Never,Never,Never,60+,Female,"$150,000 to $174,999",West South Central
None of these,"Sort of a mix of a lot of things, mostly Ethical Humanist and semi-secular Pagan.  Was raised Muslim and still identify as such in some ways, but do not literally believe in God - and certainly don't believe that a surpreme being, if one did exist, would care whether people believed in it or not.",Never,Not applicable to my religious beliefs,Once a year or less,Never,Never,Once a year or less,Once a year or less,Once a year or less,Once a month or less,Every day,Never,30 - 44,Female,"$10,000 to $24,999",East North Central
Mormon,,Weekly or more,A few times per week,Never,Every day,A few times per month,A few times per month,Not applicable to my religious beliefs,Not applicable to my religious beliefs,A few times per month,A few times per month,Not applicable to my religious beliefs,45 - 59,Male,"$50,000 to $74,999",Pacific
Jewish,,Less than weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,60+,Male,"$50,000 to $74,999",East North Central
Protestant,,Weekly or more,A few times per week,Never,A few times per week,A few times per week,A few times per week,A few times per month,Once a month or less,Never,Never,Never,30 - 44,Male,"$75,000 to $99,999",Mountain
None of these,Baptist,Less than weekly,Every day,Once a month or less,Never,Every day,A few times per month,Once a year or less,Never,Never,A few times per week,Never,30 - 44,Female,"$25,000 to $49,999",South Atlantic
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,60+,Female,"$0 to $9,999",South Atlantic
Protestant,,Never,Once a month or less,Never,Once a month or less,A few times per month,Never,Never,Never,Never,Never,Never,45 - 59,Female,"$25,000 to $49,999",East North Central
None of these,self moralist,Never,Once a year or less,Never,Never,Once a month or less,Never,Never,Never,Never,Never,Never,60+,Male,"$10,000 to $24,999",Pacific
Atheist,,,,,,,,,,,,,30 - 44,Male,"$25,000 to $49,999",Pacific
Agnostic,,Less than weekly,Never,Never,Never,Never,Never,Never,Once a year or less,Once a year or less,Never,Never,18 - 29,Female,"$10,000 to $24,999",South Atlantic
Protestant,,Less than weekly,Once a month or less,Never,Once a year or less,A few times per month,A few times per month,Once a month or less,Once a month or less,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,45 - 59,Male,"$100,000 to $124,999",East South Central
Orthodox Christian,,Less than weekly,Once a month or less,Once a year or less,Never,A few times per month,A few times per month,Once a month or less,Once a year or less,Once a year or less,Never,Once a year or less,30 - 44,Female,"$75,000 to $99,999",West North Central
Roman Catholic,,Less than weekly,Once a month or less,Never,A few times per month,A few times per month,Never,Once a year or less,Never,Once a year or less,Every day,Once a year or less,45 - 59,Female,"$0 to $9,999",East North Central
Jewish,,Never,Never,,Once a year or less,,Once a month or less,Once a year or less,Never,A few times per week,Never,Never,30 - 44,Female,Prefer not to answer,Middle Atlantic
None of these,Xxx,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45 - 59,Male,"$75,000 to $99,999",New England
Roman Catholic,,Less than weekly,Never,Never,Never,Once a year or less,Once a year or less,Never,Never,Once a year or less,Never,Never,45 - 59,Male,"$25,000 to $49,999",Middle Atlantic
Roman Catholic,,Less than weekly,A few times per month,Once a year or less,Once a month or less,Once a month or less,Once a year or less,Once a year or less,Once a year or less,Never,Once a year or less,,18 - 29,Male,"$25,000 to $49,999",South Atlantic
Protestant,,Less than weekly,Never,Never,Never,Once a month or less,Once a year or less,Never,,Never,,Never,45 - 59,Female,"$100,000 to $124,999",Pacific
Orthodox Christian,,Weekly or more,Once a month or less,Never,A few times per month,A few times per month,A few times per month,A few times per month,Once a month or less,Never,Once a month or less,Never,60+,Male,"$50,000 to $74,999",New England
Protestant,,Less than weekly,Never,Never,Never,Once a year or less,Never,,Never,Never,Once a month or less,Never,45 - 59,Female,Prefer not to answer,West North Central
Atheist,,,,,,,,,,,,,18 - 29,Male,"$25,000 to $49,999",Middle Atlantic
Agnostic,,Never,Never,Never,Once a year or less,Never,Never,Never,Never,Never,Never,Never,30 - 44,Female,"$175,000 to $199,999",East North Central
None of these,Hebrew,Never,Never,Never,Never,Once a year or less,Never,Once a month or less,Once a month or less,A few times per month,Never,Never,18 - 29,Female,"$50,000 to $74,999",Mountain
Protestant,,Weekly or more,Not applicable to my religious beliefs,Not applicable to my religious beliefs,A few times per month,A few times per month,A few times per month,A few times per month,Once a month or less,Never,Once a year or less,Never,45 - 59,Male,"$100,000 to $124,999",Pacific
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,60+,Male,"$25,000 to $49,999",Pacific
Orthodox Christian,,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Never,Never,Never,18 - 29,Male,"$10,000 to $24,999",East North Central
Roman Catholic,,Weekly or more,A few times per week,A few times per week,A few times per week,A few times per month,A few times per month,A few times per month,A few times per month,A few times per month,A few times per month,A few times per month,30 - 44,Female,"$75,000 to $99,999",Mountain
Agnostic,,Never,Never,Never,Never,Once a month or less,Never,Never,Never,Never,Never,Never,45 - 59,Female,"$150,000 to $174,999",South Atlantic
Atheist,,,,,,,,,,,,,18 - 29,Female,"$0 to $9,999",South Atlantic
Protestant,,Less than weekly,Once a month or less,Not applicable to my religious beliefs,A few times per month,Once a month or less,Once a year or less,A few times per month,Once a month or less,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,60+,Male,"$175,000 to $199,999",East South Central
Protestant,,Never,Never,Never,Never,Once a month or less,Never,A few times per month,Once a year or less,Never,Never,Never,45 - 59,Female,Prefer not to answer,East North Central
Agnostic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Never,Never,Never,Never,Never,Never,45 - 59,Male,"$75,000 to $99,999",East North Central
Protestant,,Less than weekly,Never,Never,Once a year or less,A few times per month,A few times per month,Once a month or less,Once a year or less,Never,Never,Never,60+,Female,"$75,000 to $99,999",Mountain
None of these,I just consider myself Christian.,Never,A few times per week,Once a month or less,A few times per week,A few times per week,Once a month or less,Never,Never,Never,A few times per month,Never,45 - 59,Female,"$150,000 to $174,999",West South Central
Protestant,,Less than weekly,Never,Never,Never,Every day,A few times per week,Once a month or less,Never,Never,Never,Never,60+,Female,"$25,000 to $49,999",South Atlantic
Agnostic,,Less than weekly,Never,Never,Never,Once a year or less,Never,Never,Never,Never,Never,Never,60+,Male,"$75,000 to $99,999",South Atlantic
None of these,A little of each,Less than weekly,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,30 - 44,Female,Prefer not to answer,Pacific
Atheist,,,,,,,,,,,,,30 - 44,Female,"$200,000 and up",Mountain
Protestant,,Never,Never,Never,Never,Once a year or less,Never,Once a year or less,Once a year or less,Never,Never,Never,45 - 59,Female,"$10,000 to $24,999",New England
Agnostic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Never,Never,Never,Never,30 - 44,Male,"$150,000 to $174,999",Mountain
None of these,Christian (non-denominational),Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a year or less,A few times per month,Once a year or less,A few times per month,Once a month or less,Not applicable to my religious beliefs,Once a month or less,Not applicable to my religious beliefs,60+,Female,"$50,000 to $74,999",Pacific
None of these,BAPTISTS,Weekly or more,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Never,Never,Never,45 - 59,Female,"$0 to $9,999",West South Central
Protestant,,Less than weekly,Once a year or less,Never,Never,Once a year or less,Once a year or less,Never,Never,Never,Never,Never,18 - 29,Male,"$75,000 to $99,999",West North Central
Protestant,,Weekly or more,A few times per week,Never,Every day,A few times per week,A few times per week,A few times per week,A few times per month,Once a month or less,A few times per week,Once a year or less,45 - 59,Female,"$25,000 to $49,999",Middle Atlantic
Orthodox Christian,,Never,Never,Never,Never,Once a month or less,A few times per month,Once a year or less,Never,Never,Once a year or less,Never,18 - 29,Female,"$10,000 to $24,999",South Atlantic
Protestant,,Less than weekly,Every day,Not applicable to my religious beliefs,A few times per week,A few times per month,A few times per month,,Once a month or less,Once a month or less,,Once a year or less,45 - 59,Female,"$50,000 to $74,999",West South Central
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45 - 59,Female,"$25,000 to $49,999",East North Central
Protestant,,Less than weekly,Never,Never,Never,Once a year or less,Never,Once a year or less,Never,Never,Never,Never,60+,Male,"$100,000 to $124,999",East North Central
Agnostic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,45 - 59,Female,"$75,000 to $99,999",Pacific
Roman Catholic,,Less than weekly,Never,Never,Once a month or less,Never,Never,Never,Never,Once a year or less,A few times per week,Never,18 - 29,Female,Prefer not to answer,West North Central
Roman Catholic,,Less than weekly,Once a month or less,Never,Once a year or less,Once a month or less,A few times per week,Once a month or less,Never,Once a year or less,Once a year or less,Never,18 - 29,Female,Prefer not to answer,South Atlantic
Agnostic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,,,Never,Never,Never,Never,Never,60+,Male,"$75,000 to $99,999",East North Central
Atheist,,,,,,,,,,,,,60+,Male,"$100,000 to $124,999",Mountain
Atheist,,,,,,,,,,,,,45 - 59,Male,"$200,000 and up",South Atlantic
None of these,Not religious,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,30 - 44,Male,"$75,000 to $99,999",Pacific
None of these,no organized religion,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Never,Every day,Once a year or less,30 - 44,Female,"$175,000 to $199,999",East North Central
Roman Catholic,,Less than weekly,Once a month or less,Once a year or less,Once a month or less,Once a month or less,Once a year or less,Once a year or less,Never,Once a year or less,Once a year or less,Once a year or less,30 - 44,Female,"$100,000 to $124,999",Pacific
